"","date","R","t_end","lower","upper"
"203",2021-03-07,0.80398539503571,218,0.725852604545237,0.893827242991652
"204",2021-03-08,0.817761793856379,219,0.736116028029349,0.905299002765749
"205",2021-03-09,0.827611416226498,220,0.742793752094128,0.912736793511774
"206",2021-03-10,0.836039210456487,221,0.754778287640957,0.924166787543279
"207",2021-03-11,0.843668416578827,222,0.762003308216625,0.930547037637263
"208",2021-03-12,0.849793865075226,223,0.767723857918479,0.938091425524263
"209",2021-03-13,0.856929160196899,224,0.774184325775085,0.949568516249165
"210",2021-03-14,0.863380086443487,225,0.781574015557308,0.957420182433416
"211",2021-03-15,0.871653697179062,226,0.7870456960915,0.964829073590886
"212",2021-03-16,0.881094594393979,227,0.793398645060266,0.978472522840446
"213",2021-03-17,0.891558686010796,228,0.801892743202008,0.987826340027735
"214",2021-03-18,0.900428388680437,229,0.812049576217939,0.998790468989133
"215",2021-03-19,0.910003606060207,230,0.821066816088504,1.01160336089
"216",2021-03-20,0.916951224574383,231,0.826845650403985,1.02311868970713
"217",2021-03-21,0.924931551414153,232,0.831933394121358,1.03054622721398
"218",2021-03-22,0.935628256776667,233,0.84059853864915,1.04168883811629
"219",2021-03-23,0.949882561435498,234,0.854118769698272,1.05642184452939
"220",2021-03-24,0.962357284334467,235,0.866086554321585,1.07536584634292
"221",2021-03-25,0.981084550588742,236,0.883075586944159,1.09175498821488
"222",2021-03-26,1.00514657943379,237,0.906326079233575,1.11742925026983
"223",2021-03-27,1.03110513879472,238,0.931511526637337,1.14639949884229
"224",2021-03-28,1.05994977647866,239,0.957162072045702,1.18032189797233
"225",2021-03-29,1.09372220911094,240,0.987285162646125,1.21337069469967
"226",2021-03-30,1.13286761086654,241,1.02380689705966,1.25675760529329
"227",2021-03-31,1.17653899633875,242,1.06256881667962,1.30387486518294
"228",2021-04-01,1.22358256822061,243,1.10503475857452,1.35907208953511
"229",2021-04-02,1.27421021894321,244,1.15232150823668,1.41583497025031
"230",2021-04-03,1.32352141731528,245,1.19288764271013,1.47390311658156
"231",2021-04-04,1.37370721638648,246,1.23518681873175,1.52420400878599
"232",2021-04-05,1.42997138855664,247,1.2820064364767,1.58777221740147
"233",2021-04-06,1.4804096591138,248,1.33146341549473,1.63833547833212
"234",2021-04-07,1.52701626280284,249,1.3744400721158,1.69135138815705
"235",2021-04-08,1.57915447659417,250,1.42310216953663,1.74827811000331
"236",2021-04-09,1.62299167807545,251,1.46308549554947,1.79414406488332
"237",2021-04-10,1.66478686511368,252,1.50474495981537,1.84235639575892
"238",2021-04-11,1.69940054891953,253,1.54098960683323,1.87904198239866
"239",2021-04-12,1.7306753359807,254,1.56254466919722,1.9169298265788
"240",2021-04-13,1.74729707403555,255,1.57563670560288,1.9434091460765
"241",2021-04-14,1.74924754281847,256,1.57832959454696,1.94343223631254
"242",2021-04-15,1.73462893780414,257,1.56235266303819,1.91894254690363
"243",2021-04-16,1.70427185698917,258,1.53664147173398,1.88663817654323
"244",2021-04-17,1.66705239907631,259,1.50051174376413,1.84126043195192
"245",2021-04-18,1.61915877152356,260,1.4591527418588,1.78657322901763
"246",2021-04-19,1.56384889734916,261,1.40416485915957,1.72886666166623
"247",2021-04-20,1.50366797224294,262,1.35294790271881,1.66157536112042
"248",2021-04-21,1.43774054063392,263,1.29438748817636,1.59099723854737
"249",2021-04-22,1.37021977216862,264,1.23432144183801,1.51662364641557
"250",2021-04-23,1.29495244273065,265,1.16243893616809,1.42732411015813
"251",2021-04-24,1.21536620440755,266,1.09185421475567,1.33854355134176
"252",2021-04-25,1.13979428572626,267,1.02624966146109,1.25334727404139
"253",2021-04-26,1.06720145197793,268,0.960999388625902,1.17794519183137
"254",2021-04-27,0.999211079770023,269,0.903146347031704,1.10779833070985
"255",2021-04-28,0.936305936198198,270,0.849134251397006,1.03715432276346
"256",2021-04-29,0.883565055869298,271,0.799793578273787,0.978173116286456
"257",2021-04-30,0.840833332597373,272,0.757532146298197,0.931013178225798
"258",2021-05-01,0.802700466082837,273,0.723301764883269,0.892327859206177
"259",2021-05-02,0.770758607450599,274,0.693165183172358,0.855281790649975
"260",2021-05-03,0.742041117402299,275,0.67039197239977,0.821691636403804
"261",2021-05-04,0.721197165060922,276,0.650459317073923,0.800177219466558
"262",2021-05-05,0.702730903457683,277,0.635888741793983,0.781371295838839
"263",2021-05-06,0.691317556720578,278,0.624369237264788,0.766641128732273
"264",2021-05-07,0.683986456026931,279,0.621492104359411,0.758213706370655
"265",2021-05-08,0.683518917258534,280,0.618107338834403,0.760736072910274
"266",2021-05-09,0.686424455236816,281,0.620760459519417,0.764166432243624
"267",2021-05-10,0.690157515699811,282,0.622022618110477,0.764444391859525
"268",2021-05-11,0.69500380543662,283,0.625518483593455,0.769837751429132
"269",2021-05-12,0.698615768252502,284,0.628609810900198,0.772592686904802
"270",2021-05-13,0.702601983423258,285,0.63366265233066,0.777348571959739
"271",2021-05-14,0.708630523630344,286,0.639916434886751,0.780005019852383
"272",2021-05-15,0.712881418365971,287,0.641999894235887,0.78592270657715
"273",2021-05-16,0.715865628338457,288,0.643838881505327,0.789011953843792
"274",2021-05-17,0.715280565910476,289,0.642212101354222,0.789283818024112
"275",2021-05-18,0.71665706688468,290,0.643734674102386,0.791972461760948
"276",2021-05-19,0.714992752375706,291,0.642063470068502,0.792461332904706
"277",2021-05-20,0.712160287678739,292,0.643921665452724,0.791199509716592
"278",2021-05-21,0.709313250529413,293,0.640584563129201,0.786737689260906
